,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%)
7563,Nepal,NPL,2014,197.58103243808898,2266.1842982484804,28323241.0,197.58103243808898,5149732,23173509,18.182000000000002,81.818001
7619,Netherlands,NLD,2014,500.593885425942,45668.441472132195,16889356.0,500.870581257414,15126226,1738782,89.69,10.31
7674,New Caledonia,NCL,2014,14.663566739606098,,,14.523905908096301,184770,83280,68.931,31.069000000000003
7730,New Zealand,NZL,2014,17.1269606167635,34455.3312172237,4566700.0,17.3434354942843,3891014,618686,86.281,13.719000000000001
7786,Nicaragua,NIC,2014,49.9750457038391,4784.830463660779,6013997.0,49.9750457038391,3470076,2543921,57.7,42.299999
7842,Niger,NER,2014,15.116617194284402,904.456729989967,19148219.0,15.116617194284402,3105650,16042569,16.219,83.780998
7898,Nigeria,NGA,2014,193.74869835413998,5671.9006010195,176460502.0,193.74869835413998,82904673,93555829,46.982,53.018002
7954,North Korea,PRK,2014,208.59034133377602,,25116363.0,208.59034133377602,15345595,9770768,61.098,38.902
7979,Northern Mariana Islands,MNP,2014,118.40869565217399,,,118.40869565217399,49715,4753,91.273,8.727000199999999
8035,Norway,NOR,2014,14.0651672165259,63419.314778542,5140311.0,14.072710995762,4145335,991897,80.692,19.308001
8091,Oman,OMN,2014,12.797819063004802,40365.2732623193,3960925.0,12.797819063004802,3174483,786442,80.145,19.855
8147,Pakistan,PAK,2014,240.69408597966,4576.2270153496,185546257.0,240.69408597966,66460814,119085443,35.819,64.181
8203,Palau,PLW,2014,45.8565217391304,12854.5227021631,21094.0,45.8565217391304,16351,4743,77.517,22.483
8229,Palestine,PSE,2014,713.402325581395,4319.52828287882,4537425.0,753.725083056478,3225864,1068818,75.113,24.886999
8285,Panama,PAN,2014,52.5152811407049,20017.9943624961,3903986.0,52.5152811407049,2591115,1312871,66.37100000000001,33.629002
8341,Papua New Guinea,PNG,2014,17.126231064788197,3709.0816437031604,7755785.0,17.126231064788197,1007321,6748464,12.988,87.012001
8397,Paraguay,PRY,2014,16.492786307576097,8501.54353959203,6552584.0,16.492786307576097,3962610,2589974,60.474,39.526001
8453,Peru,PER,2014,24.1979328125,11547.834216270901,30973354.0,24.1979328125,23903066,7070288,77.173,22.826999999999998
8509,Philippines,PHL,2014,335.722067947815,6585.8959487088405,100102249.0,335.722067947815,46140130,53962119,46.093,53.907001
8565,Poland,POL,2014,124.144273163722,24347.0736576846,38293060.0,125.04672958233999,22960228,15051507,60.403,39.597
8621,Portugal,PRT,2014,113.54251405491001,26023.6978492184,10471168.0,114.32654219893,6546012,3855050,62.93600000000001,37.063999
8676,Puerto Rico,PRI,2014,398.520180383315,35066.046376369704,,414.962232243517,3310445,224429,93.65100000000001,6.349
8732,Qatar,QAT,2014,204.514987080103,120860.06755829,2374419.0,204.514987080103,2347541,26878,98.868,1.1320000000000001
8788,Romania,ROU,2014,86.5306806328234,19677.5202527307,19972736.0,86.77384541860359,10730940,9178039,53.9,46.099998
8844,Russia,RUS,2014,8.78187748941037,25284.586201985498,143761378.0,8.77831832334262,106354643,37465023,73.95,26.049999
8900,Rwanda,RWA,2014,459.88475881637606,1629.8688658482902,11345357.0,459.88475881637606,1924967,9420390,16.967,83.032997
8956,Saint Kitts and Nevis,KNA,2014,206.68846153846198,23483.0123814268,53739.0,206.68846153846198,16597,37142,30.885,69.114998
9012,Saint Lucia,LCA,2014,289.214754098361,12335.536509195601,176421.0,289.214754098361,32606,143815,18.482,81.51799799999999
9068,Saint Vincent and the Grenadines,VCT,2014,280.402564102564,10290.1109592114,109357.0,280.402564102564,55289,54068,50.558,49.442001
9124,Samoa,WSM,2014,67.9469964664311,5511.1631119163,192290.0,67.9469964664311,36822,155468,19.149,80.850998
9180,San Marino,SMR,2014,544.283333333333,56620.5426193428,32657.0,544.283333333333,31533,1124,96.559,3.4410000000000003
9236,Sao Tome and Principe,STP,2014,199.235416666667,2902.6933715176197,191266.0,199.235416666667,132381,58885,69.21300000000001,30.787001
9292,Saudi Arabia,SAU,2014,14.3168187040922,49958.4433361471,30776722.0,14.3168187040922,25532369,5244353,82.96,17.040001
9348,Senegal,SEN,2014,75.5524385810004,2218.5519173352104,14546111.0,75.5524385810004,6609171,7936940,45.43600000000001,54.563999
9404,Seychelles,SYC,2014,198.60652173913002,24221.1442592803,93254.0,202.72608695652198,50219,41140,54.968999999999994,45.030998
9460,Sierra Leone,SLE,2014,98.07650318647819,1692.14206707555,7079162.0,98.07650318647819,2862247,4216915,40.431999999999995,59.568001
9516,Singapore,SGP,2014,7714.702397743299,80903.5346542296,5448342.0,7783.34571428571,5469724,0,100.0,0.0
9534,Sint Maarten (Dutch part),SXM,2014,1108.3823529411802,,,1108.73529411765,37685,0,100.0,0.0
9590,Slovakia,SVK,2014,112.68662396539499,27285.284673711,5432841.0,112.977062884711,2926070,2492579,54.0,46.0
9646,Slovenia,SVN,2014,102.38232373386299,28417.656441512,2070845.0,102.82249255213499,1104335,957645,53.556999999999995,46.443001
9702,Solomon Islands,SLB,2014,20.561057520543102,2139.56074060145,575504.0,20.561057520543102,126012,449492,21.896,78.103996
9758,Somalia,SOM,2014,21.5403529186725,,13513125.0,21.5403529186725,5767267,7745858,42.678999999999995,57.320999
9814,South Africa,ZAF,2014,44.9592124244697,12389.7146679241,54539571.0,44.9592124244697,35075489,19464082,64.312,35.688
9870,South Korea,KOR,2014,520.585340582684,33425.689593141804,50385560.0,518.210017484316,41463573,9283086,81.707,18.292999
9926,South Sudan,SSD,2014,,1935.87940008879,11530971.0,18.873788109254,2147759,9383212,18.625999999999998,81.374001
9982,Spain,ESP,2014,92.9227364506907,31195.405242203502,46521827.0,93.26749599037691,36890017,9590865,79.366,20.634001
10038,Sri Lanka,LKA,2014,331.223090416202,10650.390178248299,20623564.0,328.87201403285,3784061,16986939,18.218,81.781998
10093,Sub-Saharan Africa,,2014,41.451560419455,3478.7988389155703,,43.113628203236,371834935,607182983,38.24814856467525,61.75185
10149,Sudan,SDN,2014,21.574687710437697,4188.33481399507,37737913.0,21.380667497411803,12713526,25024387,33.689,66.310997
